MaBan,MaCN,MaHD,TinhTrang
1,1,,1
2,1,,1
3,1,,1
4,1,,1
5,1,,1
6,1,,1
7,1,,1
8,1,,1
9,1,,1
10,1,,1
11,1,,1
12,1,,1
13,1,,1
14,1,,1
15,1,,1
16,2,,1
17,2,,1
18,2,,1
19,2,,1
20,2,,1
21,2,,1
22,2,,1
23,2,,1
24,2,,1
25,2,,1
26,2,,1
27,2,,1
28,2,,1
29,2,,1
30,2,,1
31,3,,1
32,3,,1
33,3,,1
34,3,,1
35,3,,1
36,3,,1
37,3,,1
38,3,,1
39,3,,1
40,3,,1
41,3,,1
42,3,,1
43,3,,1
44,3,,1
45,3,,1
46,4,,1
47,4,,1
48,4,,1
49,4,,1
50,4,,1
51,4,,1
52,4,,1
53,4,,1
54,4,,1
55,4,,1
56,4,,1
57,4,,1
58,4,,1
59,4,,1
60,4,,1
61,5,,1
62,5,,1
63,5,,1
64,5,,1
65,5,,1
66,5,,1
67,5,,1
68,5,,1
69,5,,1
70,5,,1
71,5,,1
72,5,,1
73,5,,1
74,5,,1
75,5,,1
76,6,,1
77,6,,1
78,6,,1
79,6,,1
80,6,,1
81,6,,1
82,6,,1
83,6,,1
84,6,,1
85,6,,1
86,6,,1
87,6,,1
88,6,,1
89,6,,1
90,6,,1
91,7,,1
92,7,,1
93,7,,1
94,7,,1
95,7,,1
96,7,,1
97,7,,1
98,7,,1
99,7,,1
100,7,,1
101,7,,1
102,7,,1
103,7,,1
104,7,,1
105,7,,1
106,8,,1
107,8,,1
108,8,,1
109,8,,1
110,8,,1
111,8,,1
112,8,,1
113,8,,1
114,8,,1
115,8,,1
116,8,,1
117,8,,1
118,8,,1
119,8,,1
120,8,,1
121,9,,1
122,9,,1
123,9,,1
124,9,,1
125,9,,1
126,9,,1
127,9,,1
128,9,,1
129,9,,1
130,9,,1
131,9,,1
132,9,,1
133,9,,1
134,9,,1
135,9,,1
136,10,,1
137,10,,1
138,10,,1
139,10,,1
140,10,,1
141,10,,1
142,10,,1
143,10,,1
144,10,,1
145,10,,1
146,10,,1
147,10,,1
148,10,,1
149,10,,1
150,10,,1
151,11,,1
152,11,,1
153,11,,1
154,11,,1
155,11,,1
156,11,,1
157,11,,1
158,11,,1
159,11,,1
160,11,,1
161,11,,1
162,11,,1
163,11,,1
164,11,,1
165,11,,1
166,12,,1
167,12,,1
168,12,,1
169,12,,1
170,12,,1
171,12,,1
172,12,,1
173,12,,1
174,12,,1
175,12,,1
176,12,,1
177,12,,1
178,12,,1
179,12,,1
180,12,,1
181,13,,1
182,13,,1
183,13,,1
184,13,,1
185,13,,1
186,13,,1
187,13,,1
188,13,,1
189,13,,1
190,13,,1
191,13,,1
192,13,,1
193,13,,1
194,13,,1
195,13,,1
196,14,,1
197,14,,1
198,14,,1
199,14,,1
200,14,,1
201,14,,1
202,14,,1
203,14,,1
204,14,,1
205,14,,1
206,14,,1
207,14,,1
208,14,,1
209,14,,1
210,14,,1
211,15,,1
212,15,,1
213,15,,1
214,15,,1
215,15,,1
216,15,,1
217,15,,1
218,15,,1
219,15,,1
220,15,,1
221,15,,1
222,15,,1
223,15,,1
224,15,,1
225,15,,1
