MaMon,TenMon,MaLoai,Gia,HinhAnh,GiaoHang
1,AKAGAI SASHIMI,Sashimi,179000,https://sushiworld.com.vn/wp-content/uploads/2022/06/akagai-1-300x300.jpg,1
2,AKAGAI SUSHI,Sushi,89000,https://sushiworld.com.vn/wp-content/uploads/2022/09/Artboard-19-copy-81@4x-100-300x300.jpg,1
3,AYU SHIO YAKI,Yakimono,129000,https://sushiworld.com.vn/wp-content/uploads/2022/11/Capture-28-300x300.png,1
4,BEEF SALAD,Salad,149000,https://sushiworld.com.vn/wp-content/uploads/2023/06/salad-bo-300x300.png,1
5,BEEF STEAK SET,Set lunch,209000,https://sushiworld.com.vn/wp-content/uploads/2022/11/Capture-52-300x300.png,1
6,BURI KAMA SHIO YAKI,Yakimono,269000,https://sushiworld.com.vn/wp-content/uploads/2022/11/Capture-25-300x300.png,1
7,CALIFORNIA MAKI,Maki,119000,https://sushiworld.com.vn/wp-content/uploads/2022/09/Capture-6-300x300.png,1
8,CHIRASHI DON SET,Set lunch,169000,https://sushiworld.com.vn/wp-content/uploads/2022/11/Capture-40-300x300.png,1
9,CHUBUNE SASHIMI,Sashimi,1000,https://sushiworld.com.vn/wp-content/uploads/2022/06/Artboard-19-copy-50@4x-100-300x300.jpg,1
10,CHUSUSHI MORIAWASE,Sushi,1000,https://sushiworld.com.vn/wp-content/uploads/2022/09/kosushi-300x300.png,1
11,CHUTORO SASHIMI,Sashimi,819000,https://sushiworld.com.vn/wp-content/uploads/2022/06/Artboard-19-copy-43@4x-100-300x300.jpg,1
12,COMBO SASHIMI & SUSHI,Sushi,549000,https://sushiworld.com.vn/wp-content/uploads/2022/09/a-300x300.png,1
13,DELUXE A,Sushi,659000,https://sushiworld.com.vn/wp-content/uploads/2022/09/dea-300x300.png,1
14,DELUXE B,Sushi,349000,https://sushiworld.com.vn/wp-content/uploads/2022/09/sushi-b-300x300.png,1
15,DELUXE SASHIMI 1,Sashimi,809000,https://sushiworld.com.vn/wp-content/uploads/2022/06/Artboard-19-copy-47@4x-100-300x300.jpg,1
16,DELUXE SASHIMI 2,Sashimi,859000,https://sushiworld.com.vn/wp-content/uploads/2022/06/Artboard-19-copy-48@4x-100-300x300.jpg,1
17,EBI FURAI SUSHI,Sushi,69000,https://sushiworld.com.vn/wp-content/uploads/2022/09/Artboard-19-copy-63@4x-100-300x300.jpg,1
18,EBI SUSHI,Sushi,69000,https://sushiworld.com.vn/wp-content/uploads/2022/09/Artboard-19-copy-84@4x-100-300x300.jpg,1
19,EBI TEM MAKI,Maki,119000,https://sushiworld.com.vn/wp-content/uploads/2022/09/Capture-11-300x300.png,1
20,EBI TEM MAYO,Tempura,179000,https://sushiworld.com.vn/wp-content/uploads/2022/10/Capture-13-300x300.png,1
