MaPhieuDG,MaHD,DiemPhucVu,DiemViTri,DiemMonAn,DiemKhongGian,DiemGiaCa
1,64495,5,4,5,5,2
2,293454,4,3,2,4,2
3,227129,5,5,5,3,2
4,156717,3,2,4,4,5
5,270802,4,2,5,4,5
6,249609,5,3,3,4,2
7,151865,3,3,4,4,4
8,78698,3,5,2,4,5
9,83121,3,5,5,5,3
10,88983,4,4,4,4,3
11,140678,3,4,5,2,5
12,139320,5,5,5,5,3
13,280156,5,4,2,5,4
14,83456,2,2,4,4,5
15,197070,4,4,3,3,2
16,50831,5,3,3,5,2
17,106985,3,5,3,3,5
18,15347,2,2,3,3,5
19,244262,4,3,4,5,2
20,243066,2,3,4,2,4
21,246361,4,2,2,2,3
22,202095,3,3,5,3,4
23,22750,3,5,3,2,2
24,140629,2,4,2,4,5
25,33903,2,4,4,4,3
26,79601,3,3,5,5,3
27,40647,3,3,5,5,5
28,49212,5,2,2,5,5
29,198124,4,4,2,3,3
30,208261,2,4,5,2,2
31,68410,2,5,5,2,4
32,63121,4,4,5,4,4
33,22454,5,2,5,2,5
34,270232,2,2,4,2,3
35,136054,5,2,2,2,4
36,130704,4,5,3,2,2
37,183283,3,2,4,4,5
38,197636,3,2,5,5,2
39,155991,3,3,2,5,3
40,55921,5,4,4,4,2
41,204038,2,5,4,3,4
42,161234,5,5,5,4,2
43,170806,3,2,4,3,3
44,129499,2,5,4,2,3
45,224221,5,3,4,3,5
46,32509,3,3,5,3,5
47,159886,2,5,2,3,4
48,175102,4,3,3,3,5
49,66980,3,4,4,3,4
50,232349,3,5,3,5,5
51,248959,5,4,4,5,3
52,97362,2,4,4,5,2
53,81174,5,2,5,4,2
54,211841,3,2,3,4,3
55,213174,3,3,5,3,3
56,261534,2,2,5,2,3
57,5270,3,5,3,4,2
58,91731,5,5,4,3,4
59,250577,5,4,4,2,3
60,4827,3,4,2,5,2
61,15155,3,5,5,3,5
62,6690,5,3,2,5,2
63,117373,4,5,5,5,4
64,84428,4,3,4,4,5
65,132533,4,5,3,5,5
66,104856,5,4,4,2,5
67,37841,3,3,4,4,2
68,292321,5,5,3,2,4
69,5363,2,4,5,2,2
70,159175,3,5,2,2,3
71,76887,4,4,3,4,2
72,44845,5,4,3,3,5
73,31763,5,4,4,3,5
74,278939,3,4,5,5,2
75,72752,4,5,4,2,3
76,299821,4,5,2,3,4
77,102616,2,3,5,5,2
78,77085,4,4,2,2,2
79,163974,2,2,4,2,4
80,24775,2,3,4,2,5
81,95437,5,2,5,2,4
82,153805,2,2,2,3,3
83,276484,5,4,3,5,2
84,173389,2,4,4,5,4
85,41432,3,2,5,5,2
86,210578,2,2,5,2,4
87,54482,3,3,2,3,2
88,164076,4,4,2,3,5
89,250545,5,4,3,5,4
90,127175,3,4,4,4,3
91,284333,3,3,2,3,3
92,238625,2,3,5,4,4
93,191332,3,5,5,2,4
94,149682,5,5,2,4,2
95,165877,4,4,5,2,2
96,234045,4,3,3,3,5
97,114660,4,5,2,4,3
98,119096,2,5,2,2,4
99,128380,2,4,3,4,3
